,CAGR,Vol (ann),Sharpe,Sortino,MaxDD,Calmar,HitRate,AvgGross,AvgTurn,FinalEq
"EqualWeight  (baseline, current bot)",0.05887049708628633,0.13398222972427506,0.42694297096812617,0.47283134599762133,-0.34063307425975964,0.17282672040646566,0.5347043701799485,0.9995717344753747,0.06638115631691649,169898.9417893496
SignalWeight (w ~ |z|),0.0486864772786626,0.12988067605626244,0.3660160115530998,0.3994061032145099,-0.32501505286922977,0.14979760736882444,0.5278491859468724,0.9255159250166201,0.1953749633161469,155346.02201074504
InverseVol   (w ~ 1/sigma),0.02867528577435796,0.08520737733232259,0.33180042661916104,0.3680390563868059,-0.21258611954662135,0.1348878554983422,0.5329905741216795,0.8280330154691076,0.07567826692071326,129947.88738346983
Combined     (w ~ |z|/sigma),0.032616880418088634,0.08290120488678529,0.38716253718558974,0.4415357742156884,-0.19563859579403603,0.16672007016666057,0.5295629820051414,0.7671003693550057,0.1609992122305673,134635.33181967094
"VolTargeted  (Combined, sigma_p->10%)",0.037703601561464906,0.08459213807406459,0.4375134283301757,0.510280460373108,-0.16101974914459663,0.2341551378744657,0.532133676092545,0.8816902674420172,0.17252357710841923,140907.26311005332
