,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar,HitRate,AvgGross,FinalEq
EqualWeight   (1/N baseline),0.24221588408915484,0.32354007173813465,0.5467538755665543,0.770597234885998,-0.4585524289350045,0.528218517240668,0.5301764159702879,0.9981481481481481,253338.83193321776
InverseVol    (risk parity),0.3250327600354215,0.2978915793747707,0.8104867690262131,1.1269264342523622,-0.3895546830048973,0.8343700492270434,0.5386792452830189,0.9824074074074074,334062.9821961014
VolTargeted   (sigma_p -> 10% ann),0.12198081486609613,0.10874382777394193,0.6905744394118529,1.0098979685096954,-0.12575617630013458,0.9699787195737566,0.5386792452830189,0.3788236132073143,163765.8241011688
PerfMomentum  (trailing Sharpe tilt),0.1608096551782836,0.3444336855727562,0.3168033349148563,0.44778297515697346,-0.5143036263284552,0.31267455049127735,0.5292479108635098,0.9981481481481481,189472.93964445865
